env,config,seed,episode,steps_in_episode,reward_env,success
Foundational,Shaped DQN,21,101,6,19.400000000000002,True
Foundational,Shaped DQN,21,102,8,19.200000000000003,True
Foundational,Shaped DQN,21,103,7,19.300000000000004,True
Foundational,Shaped DQN,21,104,6,19.400000000000002,True
Foundational,Shaped DQN,21,105,6,19.400000000000002,True
Foundational,Shaped DQN,21,106,7,19.300000000000004,True
Foundational,Shaped DQN,21,107,6,19.400000000000002,True
Foundational,Shaped DQN,21,108,7,19.300000000000004,True
Foundational,Shaped DQN,21,109,6,19.400000000000002,True
Foundational,Shaped DQN,21,110,8,19.200000000000003,True
Foundational,Shaped DQN,21,111,7,19.300000000000004,True
Foundational,Shaped DQN,21,112,6,19.400000000000002,True
Foundational,Shaped DQN,21,113,8,19.200000000000003,True
Foundational,Shaped DQN,21,114,6,19.400000000000002,True
Foundational,Shaped DQN,21,115,6,19.400000000000002,True
Foundational,Shaped DQN,21,116,8,19.200000000000003,True
Foundational,Shaped DQN,21,117,7,19.3,True
Foundational,Shaped DQN,21,118,7,19.3,True
Foundational,Shaped DQN,21,119,7,19.300000000000004,True
Foundational,Shaped DQN,21,120,15,8.500000000000004,False
Foundational,Shaped DQN,21,121,6,19.400000000000002,True
Foundational,Shaped DQN,21,122,6,19.400000000000002,True
Foundational,Shaped DQN,21,123,9,19.1,True
Foundational,Shaped DQN,21,124,6,19.400000000000002,True
Foundational,Shaped DQN,21,125,6,19.400000000000002,True
Foundational,Shaped DQN,21,126,6,19.400000000000002,True
Foundational,Shaped DQN,21,127,8,19.200000000000003,True
Foundational,Shaped DQN,21,128,6,19.400000000000002,True
Foundational,Shaped DQN,21,129,7,19.300000000000004,True
Foundational,Shaped DQN,21,130,6,19.400000000000002,True
Foundational,Shaped DQN,21,131,15,8.500000000000004,False
Foundational,Shaped DQN,21,132,6,19.400000000000002,True
Foundational,Shaped DQN,21,133,8,19.200000000000003,True
Foundational,Shaped DQN,21,134,6,19.400000000000002,True
Foundational,Shaped DQN,21,135,6,19.400000000000002,True
